"Statistic Label","CensusYear","Sex","Single Year of Age","Administrative Counties","UNIT","VALUE"
"Population","2022","Male","Under 1 year","Ireland","Number","29610"
"Population","2022","Male","1 year","Ireland","Number","28875"
"Population","2022","Male","2 years","Ireland","Number","30236"
"Population","2022","Male","3 years","Ireland","Number","31001"
"Population","2022","Male","4 years","Ireland","Number","31686"
"Population","2022","Male","5 years","Ireland","Number","32684"
"Population","2022","Male","6 years","Ireland","Number","34092"
"Population","2022","Male","7 years","Ireland","Number","35429"
"Population","2022","Male","8 years","Ireland","Number","36296"
"Population","2022","Male","9 years","Ireland","Number","36969"
"Population","2022","Male","10 years","Ireland","Number","38035"
"Population","2022","Male","11 years","Ireland","Number","38296"
"Population","2022","Male","12 years","Ireland","Number","38957"
"Population","2022","Male","13 years","Ireland","Number","38474"
"Population","2022","Male","14 years","Ireland","Number","37352"
"Population","2022","Male","15 years","Ireland","Number","35948"
"Population","2022","Male","16 years","Ireland","Number","34646"
"Population","2022","Male","17 years","Ireland","Number","34981"
"Population","2022","Male","18 years","Ireland","Number","33900"
"Population","2022","Male","19 years","Ireland","Number","32867"
"Population","2022","Male","20 years","Ireland","Number","32120"
"Population","2022","Male","21 years","Ireland","Number","30771"
"Population","2022","Male","22 years","Ireland","Number","31450"
"Population","2022","Male","23 years","Ireland","Number","30871"
"Population","2022","Male","24 years","Ireland","Number","30234"
"Population","2022","Male","25 years","Ireland","Number","29969"
"Population","2022","Male","26 years","Ireland","Number","29376"
"Population","2022","Male","27 years","Ireland","Number","29162"
"Population","2022","Male","28 years","Ireland","Number","28902"
"Population","2022","Male","29 years","Ireland","Number","29989"
"Population","2022","Male","30 years","Ireland","Number","30858"
"Population","2022","Male","31 years","Ireland","Number","32237"
"Population","2022","Male","32 years","Ireland","Number","32413"
"Population","2022","Male","33 years","Ireland","Number","31888"
"Population","2022","Male","34 years","Ireland","Number","33121"
"Population","2022","Male","35 years","Ireland","Number","34695"
"Population","2022","Male","36 years","Ireland","Number","35828"
"Population","2022","Male","37 years","Ireland","Number","36427"
"Population","2022","Male","38 years","Ireland","Number","37513"
"Population","2022","Male","39 years","Ireland","Number","38749"
"Population","2022","Male","40 years","Ireland","Number","40301"
"Population","2022","Male","41 years","Ireland","Number","41401"
"Population","2022","Male","42 years","Ireland","Number","41644"
"Population","2022","Male","43 years","Ireland","Number","39275"
"Population","2022","Male","44 years","Ireland","Number","37940"
"Population","2022","Male","45 years","Ireland","Number","37710"
"Population","2022","Male","46 years","Ireland","Number","37289"
"Population","2022","Male","47 years","Ireland","Number","37053"
"Population","2022","Male","48 years","Ireland","Number","36472"
"Population","2022","Male","49 years","Ireland","Number","36650"
"Population","2022","Male","50 years","Ireland","Number","36050"
